time,latitude,longitude
1633007295946699629,61.17830175782258,11.407218981761847
1633007295966740127,61.17830185824211,11.40721873578322
1633007295986750217,61.17830213082207,11.407218274153855
1633007296006947201,61.17830231358586,11.407217861403009
1633007296026763311,61.17830252080353,11.407217400248864
1633007296046810727,61.178302652172015,11.407217107252832
1633007296066731055,61.17830280285364,11.407216754154309
1633007296086733453,61.17830295155275,11.407216405397229
1633007296106718693,61.178303099485476,11.40721605599742
1633007296127827606,61.178303266823214,11.407215670445842
1633007296146882528,61.178303411068725,11.407215345526117
1633007296167160953,61.1783036713523,11.407214890092988
1633007296186753196,61.17830376127186,11.407214664123325
1633007296206820977,61.178303898099145,11.40721432235733
1633007296226737784,61.17830404570607,11.407213978485075
1633007296246743905,61.17830419505923,11.407213657622329
1633007296266723007,61.17830437138664,11.407213303428346
1633007296286728568,61.1783045187149,11.407213002298704
1633007296306910105,61.17830466027708,11.407212708848892
1633007296327074130,61.178304799642966,11.407212418540395
1633007296347786971,61.17830495493289,11.407212077377356
1633007296366729156,61.17830518268939,11.407211546846188
1633007296387073613,61.17830526183437,11.407211347902296
1633007296406743287,61.17830536064182,11.407211089424342
1633007296426750238,61.17830550165733,11.40721073270975
1633007296446785791,61.17830562715525,11.407210443806191
1633007296466706951,61.178305749006135,11.407210154144934
1633007296486714266,61.17830586042767,11.407209851592103
1633007296507973754,61.17830599254807,11.40720944249668
1633007296526792156,61.17830608941697,11.407209116353556
1633007296547403350,61.17830618894353,11.407208787819702
1633007296566714850,61.178306367974635,11.40720832199821
1633007296587168671,61.178306455107965,11.4072080818691
1633007296606776735,61.17830652336586,11.407207878819621
1633007296626798477,61.17830661895699,11.407207551101369
1633007296647052337,61.178306702206605,11.40720720846339
1633007296666748794,61.178306777675026,11.40720684470843
1633007296688897973,61.17830685571907,11.407206466662874
1633007296706786879,61.17830694695846,11.407206079213191
1633007296726761472,61.17830706455928,11.407205624654772
1633007296746759444,61.17830718535362,11.407205167069701
1633007296766741723,61.17830726066656,11.40720472960774
1633007296786707740,61.17830734693097,11.4072043696826
1633007296808977592,61.17830739400346,11.407204147229
1633007296827221306,61.17830747417294,11.407203710120646
1633007296846725493,61.178307542668705,11.407203289526713
1633007296866746192,61.17830761375424,11.407202878712539
1633007296886747998,61.178307724890935,11.407202361456044
1633007296906859983,61.17830781130123,11.40720199501175
1633007296931937447,61.178307899636934,11.407201641690085
1633007296946699544,61.17830798880202,11.407201273825798
1633007296966726025,61.17830811999489,11.407200815244376
1633007296986718276,61.17830820915526,11.407200414825963
1633007297007180466,61.178308285063714,11.40720007715388
1633007297026737667,61.1783083479861,11.407199804266755
1633007297053265402,61.17830844267788,11.407199392080502
1633007297066750650,61.17830853949268,11.407198974500584
1633007297086818538,61.178308670247525,11.407198438190022
1633007297106724388,61.17830878994257,11.407198008339307
1633007297126799999,61.17830890021967,11.40719766445734
1633007297146710727,61.17830897277364,11.407197448501822
1633007297166753530,61.17830925742307,11.407197194424468
1633007297186729973,61.178309364487234,11.407196856036196
1633007297206745589,61.178309478463326,11.407196491673865
1633007297227664530,61.17830952173855,11.407196362815009
1633007297246797467,61.17830961179196,11.407196113090542
1633007297266735808,61.17830971261482,11.407195858197689
1633007297286820137,61.1783098450835,11.40719556063372
1633007297314471898,61.17830994673787,11.407195351152652
1633007297326785715,61.17831009263407,11.407195035149364
1633007297346710684,61.17831021341679,11.407194733834961
1633007297366723391,61.178310447580564,11.407194149250913
1633007297386745332,61.17831053336838,11.407193838950944
1633007297406777437,61.178310612776805,11.40719353290304
1633007297426920201,61.17831067468696,11.407193335071216
1633007297446756113,61.17831075970465,11.407193106803007
1633007297467489939,61.17831085701336,11.407192857226782
1633007297487490024,61.17831094589378,11.407192601036286
1633007297506865543,61.17831103433743,11.407192344584587
1633007297526867348,61.17831115886017,11.407192040192388
1633007297546709682,61.17831128755929,11.407191743489472
1633007297566788390,61.17831147838746,11.407191355826443
1633007297586717593,61.178311583480316,11.407191083041429
1633007297607311588,61.17831169428272,11.407190805444158
1633007297628979396,61.178311751760155,11.407190669185187
1633007297646813052,61.17831186841079,11.407190404777818
1633007297666821003,61.17831198398505,11.40719013403846
1633007297687506711,61.17831210863832,11.40718979252638
1633007297706919308,61.17831221799676,11.407189446572778
1633007297726757185,61.17831229459985,11.40718920796819
1633007297746724685,61.17831241117067,11.407188876481966
